date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,btc_close
2023-03-07,0.0871,2.164,1.123,0.995,75.6,49,22187.1
2023-03-08,0.0837,2.147,1.077,0.825,74.4,50,21695.4
2023-03-09,0.088,2.214,1.111,0.983,41.1,44,20348.3
2023-03-10,0.0724,1.949,1.079,0.619,34.4,34,20140.3
2023-03-11,0.0637,1.723,1.047,1.477,31.1,33,20447.3
2023-03-12,0.0629,1.424,1.106,1.273,31.1,33,21986.2
2023-03-13,0.074,0.851,1.151,1.347,81.1,49,24119.5
2023-03-14,0.1207,1.015,1.218,0.931,80.0,56,24682.5
2023-03-15,0.1602,1.063,1.291,0.986,64.4,50,24288.0
2023-03-16,0.1602,0.952,1.301,1.167,93.3,52,24990.4
2023-03-17,0.1936,0.78,1.361,1.027,100.0,51,27384.0
2023-03-18,0.2258,0.708,1.316,1.129,98.9,64,26907.0
2023-03-19,0.2504,0.756,1.254,0.683,100.0,63,27955.7
2023-03-20,0.2535,0.765,1.279,1.086,98.9,66,27704.1
2023-03-21,0.2083,0.728,1.223,1.062,98.9,68,28091.1
2023-03-22,0.1577,0.854,1.16,1.468,94.4,62,27233.8
2023-03-23,0.1368,0.704,1.157,1.37,96.7,57,28284.1
2023-03-24,0.1435,0.939,1.184,1.024,90.0,61,27438.9
2023-03-25,0.1139,0.936,1.152,0.663,87.8,64,27447.3
2023-03-26,0.0843,0.828,1.132,0.633,94.4,64,27954.3
2023-03-27,0.0601,1.105,1.126,0.883,87.8,64,27112.0
2023-03-28,0.0577,0.971,1.133,0.857,91.1,59,27249.7
2023-03-29,0.0753,0.695,1.172,0.542,97.8,57,28338.5
2023-03-30,0.0798,0.923,1.149,1.077,91.1,60,28015.0
2023-03-31,0.0635,0.721,1.117,0.548,95.6,63,28454.9
2023-04-01,0.0919,0.743,1.167,0.604,94.4,61,28443.8
2023-04-02,0.1075,0.922,1.15,1.52,93.3,63,28161.2
2023-04-03,0.1088,1.097,1.132,0.554,75.6,63,27786.1
2023-04-04,0.0929,0.881,1.096,2.669,83.3,62,28155.2
2023-04-05,0.0863,1.061,1.107,0.673,81.1,62,28154.0
2023-04-06,0.0746,1.145,1.127,0.698,83.3,63,28022.8
2023-04-07,0.0615,1.235,1.093,0.754,86.7,64,27890.7
2023-04-08,0.0366,1.206,1.085,0.678,85.6,61,27924.9
2023-04-09,0.0199,0.903,1.116,1.341,91.1,61,28309.4
2023-04-10,0.0398,0.606,1.133,0.619,100.0,62,29623.1
2023-04-11,0.0785,0.642,1.163,0.67,98.9,68,30185.1
2023-04-12,0.0815,0.803,1.157,0.862,97.8,65,29875.0
2023-04-13,0.1005,0.686,1.123,1.337,97.8,61,30362.7
2023-04-14,0.1132,0.869,1.124,2.886,90.0,68,30453.1
2023-04-15,0.1228,0.871,1.108,0.941,91.1,68,30280.4
2023-04-16,0.1507,0.962,1.094,0.877,87.8,68,30286.6
2023-04-17,0.1519,1.281,1.094,0.556,85.6,69,29420.0
2023-04-18,0.1329,0.973,1.072,0.634,85.6,58,30365.8
2023-04-19,0.1295,1.539,1.068,0.824,71.1,63,28795.1
2023-04-20,0.1265,1.855,1.076,1.34,73.3,52,28229.9
2023-04-21,0.1395,1.76,1.167,1.449,72.2,50,27252.5
2023-04-22,0.145,2.015,1.126,1.31,78.9,53,27807.2
2023-04-23,0.1254,1.794,1.152,1.586,74.4,56,27576.0
2023-04-24,0.109,1.817,1.131,1.507,71.1,53,27497.5
2023-04-25,0.1183,1.482,1.124,0.522,77.8,53,28286.7
2023-04-26,0.1182,1.396,1.19,0.915,50.0,56,28395.9
2023-04-27,0.1116,0.935,1.239,1.596,78.9,59,29459.0
2023-04-28,0.1097,1.052,1.257,0.845,82.2,64,29300.0
2023-04-29,0.1054,1.095,1.247,1.518,77.8,64,29212.7
2023-04-30,0.1106,1.095,1.262,1.403,74.4,60,29223.0
2023-05-01,0.0962,1.682,1.185,0.54,70.0,63,28054.4
2023-05-02,0.0843,1.307,1.138,0.776,74.4,55,28656.5
2023-05-03,0.088,1.155,1.206,1.519,62.2,64,29018.4
2023-05-04,0.1007,1.205,1.191,1.136,75.6,64,28826.0
2023-05-05,0.0985,0.847,1.206,1.108,92.2,61,29491.5
2023-05-06,0.1138,1.399,1.213,1.815,62.2,60,28837.8
2023-05-07,0.1155,1.31,1.202,0.775,60.0,64,28419.4
2023-05-08,0.1239,2.191,1.106,2.18,75.6,60,27659.8
2023-05-09,0.128,2.112,1.116,1.16,83.3,51,27610.2
2023-05-10,0.1206,1.966,1.109,1.671,55.6,52,27582.9
2023-05-11,0.11,2.062,1.158,0.724,76.7,52,26956.4
2023-05-12,0.0982,2.07,1.15,1.391,63.3,49,26785.1
2023-05-13,0.0781,1.825,1.162,1.525,65.6,48,26762.7
2023-05-14,0.0719,1.799,1.184,0.976,67.8,48,26901.9
2023-05-15,0.0695,1.579,1.156,1.236,70.0,50,27152.5
2023-05-16,0.0748,1.72,1.175,0.441,77.8,54,27024.8
2023-05-17,0.0824,1.538,1.216,0.577,80.0,50,27395.8
2023-05-18,0.097,2.087,1.233,0.262,47.8,51,26809.3
2023-05-19,0.0977,1.957,1.228,0.429,43.3,48,26870.1
2023-05-20,0.0947,1.835,1.223,1.878,50.0,48,27089.5
2023-05-21,0.1035,1.996,1.226,0.391,47.8,52,26732.8
2023-05-22,0.1089,1.932,1.246,0.786,46.7,49,26840.2
2023-05-23,0.1213,1.474,1.274,1.761,56.7,50,27209.9
2023-05-24,0.1178,2.617,1.217,0.497,85.6,50,26313.8
2023-05-25,0.1153,2.174,1.228,0.865,81.1,51,26461.8
2023-05-26,0.1288,1.594,1.255,0.947,43.3,49,26689.9
2023-05-27,0.145,1.678,1.264,0.721,64.4,48,26841.6
2023-05-28,0.1577,1.208,1.267,0.861,94.4,50,28055.7
2023-05-29,0.1797,1.368,1.35,0.578,90.0,52,27722.0
2023-05-30,0.1688,1.441,1.27,0.573,87.8,51,27680.1
2023-05-31,0.1675,2.292,1.271,0.966,83.3,51,27201.1
2023-06-01,0.1634,2.399,1.278,0.898,82.2,52,26805.3
2023-06-02,0.1628,2.051,1.265,0.622,85.6,50,27227.8
2023-06-03,0.1627,2.03,1.284,0.201,88.9,53,27054.9
2023-06-04,0.1577,1.905,1.312,1.11,70.0,52,27102.4
2023-06-05,0.1551,3.228,1.252,0.479,86.7,53,25714.7
2023-06-06,0.1301,1.601,1.269,0.953,72.2,44,27221.5
2023-06-07,0.139,2.004,1.336,1.175,15.6,53,26325.9
2023-06-08,0.1299,2.093,1.293,0.504,15.6,50,26485.9
2023-06-09,0.1248,1.986,1.31,2.19,13.3,50,26468.1
2023-06-10,0.1168,2.783,1.243,0.737,7.8,49,25826.6
2023-06-11,0.1055,2.321,1.248,1.879,3.3,47,25909.9
2023-06-12,0.0935,2.317,1.23,1.502,7.8,47,25894.8
2023-06-13,0.1221,2.336,1.236,2.488,8.9,45,25918.0
2023-06-14,0.1069,3.035,1.205,0.543,2.2,46,25115.9
2023-06-15,0.1039,2.331,1.189,1.199,7.8,41,25586.1
2023-06-16,0.09,1.307,1.258,1.5,18.9,47,26336.0
2023-06-17,0.1024,1.412,1.279,0.631,17.8,47,26508.9
2023-06-18,0.1075,1.304,1.258,0.75,20.0,49,26329.7
2023-06-19,0.1093,1.267,1.258,1.53,62.2,47,26828.5
2023-06-20,0.0879,0.815,1.22,1.53,98.9,49,28290.6
2023-06-21,0.0979,0.789,1.386,0.608,100.0,59,29988.5
2023-06-22,0.1176,0.715,1.412,0.595,100.0,65,29875.0
2023-06-23,0.1426,0.762,1.421,2.195,98.9,65,30673.4
2023-06-24,0.1452,0.841,1.453,2.153,95.6,62,30524.2
2023-06-25,0.1565,0.935,1.395,0.848,95.6,64,30458.0
2023-06-26,0.1694,1.025,1.441,0.731,95.6,55,30260.1
2023-06-27,0.1981,0.922,1.444,1.456,100.0,59,30683.2
2023-06-28,0.2031,1.116,1.43,0.611,86.7,62,30066.3
2023-06-29,0.1998,0.9,1.419,0.462,100.0,54,30439.9
2023-06-30,0.1998,1.095,1.48,1.455,84.4,56,30460.2
2023-07-01,0.1998,0.996,1.514,1.786,84.4,59,30573.6
2023-07-02,0.1998,0.983,1.537,2.219,83.3,63,30612.7
2023-07-03,0.1998,0.757,1.484,5.816,100.0,62,31149.0
2023-07-04,0.1998,0.924,1.479,0.455,93.3,64,30756.1
2023-07-05,0.2059,1.099,1.472,1.139,85.6,61,30488.4
2023-07-06,0.1992,1.313,1.452,1.153,73.3,56,29874.4
2023-07-07,0.1735,1.276,1.391,1.159,77.8,55,30327.9
2023-07-08,0.1515,1.328,1.428,1.832,76.7,58,30269.3
2023-07-09,0.1402,1.335,1.41,5.56,71.1,55,30147.8
2023-07-10,0.1159,1.078,1.425,1.613,80.0,56,30396.9
2023-07-11,0.1061,0.98,1.4,1.185,82.2,57,30608.4
2023-07-12,0.0943,1.239,1.38,0.293,86.7,64,30368.9
2023-07-13,0.0806,0.78,1.376,1.713,92.2,57,31441.7
2023-07-14,0.1063,1.65,1.301,1.124,66.7,60,30293.3
2023-07-15,0.0969,1.588,1.27,1.025,62.2,56,30276.4
2023-07-16,0.0926,1.597,1.295,1.063,64.4,57,30216.8
2023-07-17,0.1023,1.771,1.254,1.501,77.8,54,30126.1
2023-07-18,0.1003,1.894,1.235,1.193,77.8,56,29845.6
2023-07-19,0.105,1.862,1.235,2.684,75.6,50,29895.5
2023-07-20,0.1174,2.104,1.205,0.854,80.0,56,29791.0
2023-07-21,0.0947,1.812,1.212,0.699,75.6,50,29891.4
2023-07-22,0.0994,1.849,1.234,1.634,73.3,52,29783.5
2023-07-23,0.1073,1.511,1.302,0.99,52.2,54,30070.8
2023-07-24,0.1163,2.157,1.255,1.616,78.9,55,29163.8
2023-07-25,0.1222,1.949,1.265,1.244,73.3,50,29216.3
2023-07-26,0.1245,1.547,1.271,1.239,75.6,51,29336.0
2023-07-27,0.1164,1.68,1.307,1.106,75.6,51,29209.7
2023-07-28,0.1301,1.506,1.319,0.291,70.0,52,29299.9
2023-07-29,0.1489,1.557,1.316,0.744,71.1,52,29339.1
2023-07-30,0.1447,1.639,1.318,1.542,61.1,52,29271.1
2023-07-31,0.1383,1.848,1.328,0.771,71.1,50,29220.8
2023-08-01,0.1373,1.695,1.271,1.467,77.8,53,29701.2
2023-08-02,0.1421,1.999,1.414,0.569,80.0,53,29170.1
2023-08-03,0.1623,1.898,1.293,0.331,76.7,52,29180.2
2023-08-04,0.1693,2.177,1.302,0.646,82.2,54,29101.1
2023-08-05,0.1714,2.168,1.287,2.195,77.8,50,29057.7
2023-08-06,0.1833,2.134,1.32,0.568,72.2,49,29075.9
2023-08-07,0.193,2.012,1.286,0.52,74.4,49,29202.7
2023-08-08,0.195,1.034,1.299,0.393,100.0,54,29759.0
2023-08-09,0.1916,1.404,1.416,0.678,90.0,50,29572.8
2023-08-10,0.1898,1.642,1.333,2.633,88.9,53,29443.7
2023-08-11,0.1888,1.825,1.338,1.043,86.7,51,29415.5
2023-08-12,0.194,1.86,1.336,1.319,82.2,54,29420.7
2023-08-13,0.1886,1.98,1.352,0.623,77.8,54,29293.3
2023-08-14,0.1909,1.932,1.373,0.438,51.1,50,29419.5
2023-08-15,0.1959,2.189,1.356,1.421,74.4,53,29188.8
2023-08-16,0.1993,2.395,1.352,0.617,76.7,52,28714.4
2023-08-17,0.2011,2.225,1.008,1.071,16.7,50,26609.7
2023-08-18,0.1891,2.161,1.11,0.866,1.1,37,26042.1
2023-08-19,0.1539,2.513,1.287,0.368,1.1,39,26088.3
2023-08-20,0.1216,2.512,1.246,0.862,2.2,37,26175.9
2023-08-21,0.088,2.235,1.19,0.618,3.3,38,26115.4
2023-08-22,0.0588,2.473,1.217,1.671,1.1,37,26044.4
2023-08-23,0.0318,1.971,1.204,0.418,1.1,37,26419.2
2023-08-24,0.0064,2.486,1.212,0.604,2.2,41,26164.6
2023-08-25,-0.0014,2.378,1.258,3.562,1.1,39,26051.7
2023-08-26,0.0157,2.334,1.235,2.342,3.3,38,26004.3
2023-08-27,0.0287,2.32,1.182,0.624,5.6,38,26087.7
2023-08-28,0.0408,2.339,1.21,1.913,5.6,39,26106.5
2023-08-29,0.0337,1.178,1.176,1.683,13.3,39,27700.1
2023-08-30,0.0453,1.504,1.256,0.606,12.2,49,27290.4
2023-08-31,0.0585,2.242,1.248,1.122,1.1,52,25928.0
2023-09-01,0.066,2.444,1.267,1.135,2.2,40,25795.6
2023-09-02,0.0597,2.327,1.238,0.707,1.1,39,25855.8
2023-09-03,0.0623,2.244,1.208,2.891,2.2,40,25962.1
2023-09-04,0.0569,2.386,1.203,1.326,3.3,40,25814.0
2023-09-05,0.0686,2.473,1.184,0.395,5.6,40,25779.7
2023-09-06,0.0552,2.608,1.184,0.867,5.6,42,25747.4
2023-09-07,0.0519,1.986,1.194,1.767,8.9,41,26240.7
2023-09-08,0.0344,2.081,1.156,4.787,10.0,46,25899.8
2023-09-09,0.0255,1.995,1.145,0.956,10.0,41,25892.6
2023-09-10,0.0234,2.143,1.151,0.675,4.4,40,25828.4
2023-09-11,0.0236,2.606,1.114,1.95,17.8,40,25150.4
2023-09-12,0.0229,1.704,1.125,1.557,20.0,30,25825.8
2023-09-13,0.0285,1.436,1.12,1.419,25.6,41,26209.9
2023-09-14,0.013,1.267,1.105,2.082,27.8,45,26510.3
2023-09-15,0.0198,1.348,1.119,1.26,24.4,45,26591.1
2023-09-16,0.015,1.442,1.114,1.092,24.4,43,26546.9
2023-09-17,0.0118,1.397,1.112,3.858,18.9,46,26514.2
2023-09-18,0.0018,1.275,1.103,0.935,31.1,46,26749.9
2023-09-19,-0.0041,1.203,1.101,1.29,35.6,46,27196.0
2023-09-20,-0.0182,1.365,1.093,0.685,34.4,47,27107.7
2023-09-21,-0.0057,1.7,1.101,0.646,35.6,47,26552.6
2023-09-22,-0.0067,1.711,1.09,0.701,36.7,43,26566.7
2023-09-23,0.0106,1.764,1.079,1.678,32.2,47,26563.1
2023-09-24,0.0141,1.807,1.097,0.853,30.0,44,26232.4
2023-09-25,0.0329,1.839,1.082,1.828,30.0,47,26290.5
2023-09-26,0.0347,1.918,1.108,0.626,33.3,46,26208.8
2023-09-27,0.0575,1.816,1.108,0.868,27.8,44,26359.6
2023-09-28,0.0401,0.991,1.015,0.706,45.6,46,27011.8
2023-09-29,0.031,1.247,1.078,0.494,34.4,48,26890.9
