date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2024-05-21,-0.4252,1.35,1.512,0.272,87.8,76,619.02
2024-05-22,-0.0918,1.375,1.591,1.609,80.0,76,615.24
2024-05-23,0.0157,1.842,1.521,1.689,46.7,76,599.66
2024-05-24,0.0872,1.611,1.527,0.202,55.6,74,600.55
2024-05-25,0.0872,1.619,1.504,1.173,51.1,76,602.48
2024-05-26,0.0959,1.66,1.537,0.491,46.7,75,600.65
2024-05-27,0.1492,1.603,1.519,1.218,58.9,74,604.13
2024-05-28,0.1383,1.767,1.597,0.477,41.1,72,601.91
2024-05-29,0.1122,2.175,1.494,0.679,40.0,72,595.77
2024-05-30,0.0875,2.138,1.389,1.284,41.1,73,595.34
2024-05-31,0.0972,2.254,1.43,0.869,48.9,73,594.03
2024-06-01,0.1534,1.883,1.611,2.984,78.9,72,602.39
2024-06-02,0.2154,1.811,1.591,0.498,71.1,73,603.4
2024-06-03,0.2393,1.135,1.637,0.713,97.8,73,626.86
2024-06-04,0.2663,0.766,1.515,1.063,100.0,73,686.16
2024-06-05,0.2961,0.808,1.762,0.945,100.0,75,699.32
2024-06-06,0.3414,0.79,1.711,0.382,100.0,78,711.29
2024-06-07,0.3355,1.147,1.744,0.789,96.7,77,684.0
2024-06-08,0.2793,1.243,1.538,0.517,95.6,72,682.61
2024-06-09,0.2086,1.5,1.561,0.839,94.4,75,673.16
2024-06-10,0.1463,2.537,1.695,0.94,93.3,72,625.0
2024-06-11,0.1015,3.014,1.634,2.549,90.0,74,602.18
2024-06-12,0.0486,2.181,1.487,1.305,87.8,72,619.28
2024-06-13,0.0034,2.852,1.546,0.376,85.6,70,599.7
2024-06-14,-0.0009,2.914,1.473,1.003,85.6,74,603.11
2024-06-15,-0.0009,2.837,1.495,0.54,85.6,74,607.99
2024-06-16,-0.0009,2.899,1.506,0.627,86.7,71,610.65
2024-06-17,-0.0009,2.948,1.575,0.448,87.8,71,603.96
2024-06-18,-0.0009,2.643,1.416,1.042,74.4,74,588.5
2024-06-19,0.0,2.578,1.479,3.544,77.8,64,598.92
2024-06-20,0.0,3.208,1.494,0.535,71.1,60,587.32
2024-06-21,0.0,3.082,1.46,1.563,74.4,63,586.11
2024-06-22,0.0,2.861,1.503,0.779,77.8,53,590.98
2024-06-23,0.0,2.939,1.504,1.163,70.0,55,577.4
2024-06-24,0.0,2.66,1.536,0.89,67.8,51,567.95
2024-06-25,0.0,2.581,1.532,3.68,64.4,30,577.94
2024-06-26,0.0,2.557,1.631,1.215,70.0,46,573.09
2024-06-27,0.0,2.653,1.602,0.786,74.4,40,581.75
2024-06-28,0.0,2.621,1.6,0.306,63.3,47,567.7
2024-06-29,0.0,2.646,1.527,2.602,61.1,30,570.4
2024-06-30,0.0,2.314,1.526,2.224,68.9,47,582.63
2024-07-01,0.0016,2.413,1.664,1.152,61.1,53,577.17
2024-07-02,0.0051,2.496,1.499,1.317,73.3,51,580.3
2024-07-03,0.019,3.196,1.405,1.242,56.7,50,556.91
2024-07-04,0.019,2.742,1.309,1.12,27.8,44,513.22
2024-07-05,0.019,2.543,1.111,1.663,8.9,29,497.54
2024-07-06,0.019,2.465,1.065,1.02,20.0,26,526.15
2024-07-07,0.019,2.505,1.212,1.457,12.2,29,490.64
2024-07-08,0.0175,2.378,1.022,1.249,11.1,28,510.28
2024-07-09,0.014,2.211,1.126,0.658,14.4,27,516.67
