date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2022-02-13,-0.1576,5.376,,,,44,92.8
2022-02-14,-0.1736,4.804,,,,46,96.37
2022-02-15,-0.1404,3.859,,,,46,105.44
2022-02-16,-0.1106,4.065,,,,51,101.78
2022-02-17,-0.0638,5.109,,,,52,93.46
2022-02-18,-0.0452,5.512,,,,30,89.82
2022-02-19,-0.0277,5.175,,,,25,91.25
2022-02-20,0.0482,3.507,,,,27,90.63
2022-02-21,0.051,4.877,,,,25,82.89
2022-02-22,-0.0139,4.372,,,,20,86.34
2022-02-23,-0.0687,3.984,,,,25,84.53
2022-02-24,-0.0656,2.384,,,,23,89.35
2022-02-25,-0.0453,2.69,,,,27,92.69
2022-02-26,-0.0618,3.124,,,,26,90.21
2022-02-27,-0.0814,3.655,,,,26,85.58
2022-02-28,-0.0758,2.411,,,81.1,20,99.62
2022-03-01,0.0267,2.979,,,70.0,51,98.61
2022-03-02,0.0833,2.95,,,80.0,52,100.69
2022-03-03,0.0894,4.14,,,68.9,39,95.58
2022-03-04,0.0906,4.643,,,30.0,33,88.26
2022-03-05,0.1051,4.758,,,53.3,22,89.59
2022-03-06,0.1336,5.432,,,40.0,22,84.53
2022-03-07,0.1266,5.481,,,1.1,23,81.62
2022-03-08,0.1194,6.018,,,32.2,21,82.25
2022-03-09,0.1044,4.857,,,44.4,22,88.04
2022-03-10,0.0875,6.551,,,33.3,28,82.81
2022-03-11,0.0673,6.693,,,34.4,22,80.64
2022-03-12,0.0911,6.358,,,33.3,22,81.38
2022-03-13,0.0945,6.287,,,32.2,21,78.69
2022-03-14,0.1335,6.132,,,36.7,23,81.2
2022-03-15,0.1407,4.131,,,41.1,21,82.83
2022-03-16,0.1557,4.132,,,41.1,24,87.73
2022-03-17,0.1726,3.172,,,51.1,27,87.83
2022-03-18,0.2006,3.481,,,50.0,25,89.77
2022-03-19,0.2033,3.341,,,57.8,28,92.31
2022-03-20,0.21,4.437,,,55.6,31,88.58
2022-03-21,0.2006,5.316,,,67.8,30,88.55
2022-03-22,0.2006,4.668,,,60.0,26,90.44
