date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2025-07-17,0.2896,1.092,2.099,0.631,,74,45.59
2025-07-18,0.3814,1.53,1.835,0.518,,73,44.331
2025-07-19,0.374,1.245,1.999,0.479,,74,44.48
2025-07-20,0.3895,1.647,1.796,0.594,,72,45.997
2025-07-21,0.4018,1.87,1.72,1.0,,71,44.329
2025-07-22,0.3707,1.266,1.722,1.301,,72,46.274
2025-07-23,0.3625,1.483,1.537,0.528,,74,43.705
2025-07-24,0.3611,1.593,1.659,0.877,,71,42.075
2025-07-25,0.266,1.555,1.595,1.673,,70,44.128
2025-07-26,0.266,1.763,1.855,1.07,,72,43.363
2025-07-27,0.2505,1.406,1.65,1.196,,73,43.649
2025-07-28,0.2218,2.162,1.821,1.42,,75,43.742
2025-07-29,0.1897,1.963,1.906,1.845,,73,43.485
2025-07-30,0.177,1.965,1.981,0.38,,74,42.221
2025-07-31,0.1514,2.232,1.461,0.546,,72,40.826
2025-08-01,0.1138,2.051,1.595,1.145,,65,37.613
2025-08-02,0.0232,1.825,1.497,0.799,,55,36.896
2025-08-03,-0.0855,1.89,1.369,0.549,,53,38.18
2025-08-04,-0.1142,1.722,1.612,1.57,,64,38.804
2025-08-05,-0.1029,1.826,1.766,1.1,,60,38.497
2025-08-06,-0.105,1.806,1.886,1.358,,54,38.079
2025-08-07,-0.0794,1.684,2.03,0.844,,62,40.897
2025-08-08,-0.0565,2.04,2.098,0.696,,74,40.992
2025-08-09,0.0341,2.008,2.074,2.323,,67,43.666
2025-08-10,0.1428,2.171,2.181,0.701,,69,45.269
2025-08-11,0.1778,3.047,2.336,1.778,,70,43.167
2025-08-12,0.1804,2.47,2.066,0.569,,68,44.725
2025-08-13,0.1801,1.895,2.375,1.107,,73,47.631
2025-08-14,0.1821,3.5,2.388,0.265,,75,45.442
2025-08-15,0.1827,2.288,2.154,0.948,,60,47.795
2025-08-16,0.1827,2.149,2.21,0.277,,56,46.296
2025-08-17,0.1827,2.342,2.107,1.307,,64,46.04
2025-08-18,0.1827,2.273,2.327,0.74,,60,43.321
2025-08-19,0.1827,3.072,2.239,0.728,,56,41.303
2025-08-20,0.1979,1.981,2.166,0.828,,44,42.999
2025-08-21,0.2204,1.973,2.417,0.94,,50,40.454
2025-08-22,0.2419,1.767,2.3,0.611,,50,45.335
2025-08-23,0.3176,1.647,2.705,0.718,,60,44.91
2025-08-24,0.3896,1.669,2.591,0.561,,53,46.061
2025-08-25,0.4434,3.351,2.237,0.922,,47,42.976
2025-08-26,0.4434,1.735,2.146,1.491,,48,48.794
2025-08-27,0.466,2.385,1.827,0.37,98.9,51,47.04
2025-08-28,0.4414,2.82,1.605,0.431,97.8,48,45.608
2025-08-29,0.4341,2.712,1.837,0.514,95.6,50,44.432
2025-08-30,0.3583,2.357,1.795,1.091,94.4,39,44.066
2025-08-31,0.2863,2.324,1.867,0.257,92.2,48,44.28
2025-09-01,0.2325,3.132,1.679,0.668,85.6,46,43.126
2025-09-02,0.2325,1.938,1.572,2.572,84.4,49,44.901
2025-09-03,0.2105,2.162,1.661,0.719,95.6,55,45.883
2025-09-04,0.2163,2.74,1.664,0.342,96.7,51,45.373
2025-09-05,0.2262,2.056,1.59,2.337,96.7,48,47.271
2025-09-06,0.2293,2.271,1.634,0.289,97.8,48,46.015
2025-09-07,0.2387,2.047,1.539,0.577,97.8,44,47.113
2025-09-08,0.3575,2.01,1.42,0.777,100.0,51,50.901
2025-09-09,0.4789,1.939,1.721,2.55,100.0,48,53.315
2025-09-10,0.4857,1.9,1.927,1.139,100.0,49,55.494
2025-09-11,0.4799,1.847,1.706,2.082,98.9,54,57.054
2025-09-12,0.4699,2.007,1.874,1.557,97.8,57,55.255
2025-09-13,0.4668,1.971,1.845,1.686,96.7,52,54.456
2025-09-14,0.4919,1.815,1.894,0.475,95.6,55,53.688
