date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2024-12-26,0.1222,3.687,1.917,0.953,66.7,79,37.309
2024-12-27,0.1281,3.818,2.038,0.961,63.3,74,36.552
2024-12-28,0.1107,3.54,1.937,0.99,68.9,72,37.731
2024-12-29,0.1156,3.592,1.962,0.918,63.3,73,35.818
2024-12-30,0.1184,3.54,1.843,0.958,70.0,65,35.966
2024-12-31,0.1192,3.554,1.924,1.003,67.8,64,35.688
2025-01-01,0.1335,3.614,1.736,0.98,70.0,66,37.771
2025-01-02,0.1385,3.898,2.01,1.008,71.1,70,39.276
2025-01-03,0.1671,3.453,2.158,1.003,74.4,74,41.955
2025-01-04,0.1867,3.472,2.371,1.007,81.1,73,42.624
2025-01-05,0.1898,3.531,2.388,0.897,81.1,72,43.112
2025-01-06,0.1962,3.142,2.447,0.975,87.8,76,44.048
2025-01-07,0.2068,4.337,2.431,0.904,67.8,78,39.187
2025-01-08,0.2082,3.896,2.135,0.951,63.3,70,37.4
2025-01-09,0.1961,3.495,2.135,0.94,55.6,69,36.177
2025-01-10,0.1868,3.471,2.146,0.967,61.1,50,36.646
2025-01-11,0.1756,3.496,2.211,0.959,61.1,69,37.114
2025-01-12,0.1719,3.544,2.149,0.934,58.9,62,36.54
2025-01-13,0.1244,3.337,2.407,0.914,46.7,61,35.27
2025-01-14,0.1076,3.486,2.425,0.968,48.9,63,36.552
2025-01-15,0.1063,3.822,2.575,1.051,65.6,70,39.811
2025-01-16,0.1153,3.741,2.694,0.979,66.7,75,40.054
2025-01-17,0.1246,3.863,2.942,0.931,66.7,75,41.359
2025-01-18,0.1358,4.271,3.441,0.928,60.0,77,39.221
2025-01-19,0.1381,4.139,3.121,0.87,38.9,77,35.659
2025-01-20,0.1855,3.546,2.59,0.992,36.7,76,36.008
2025-01-21,0.1858,3.509,2.663,0.975,38.9,76,36.947
2025-01-22,0.1889,3.465,2.806,0.976,38.9,84,36.798
2025-01-23,0.192,3.802,2.538,0.926,36.7,75,35.545
2025-01-24,0.192,3.675,2.648,0.925,33.3,75,35.324
2025-01-25,0.192,2.871,2.343,0.959,53.3,75,36.609
2025-01-26,0.1935,4.409,2.499,0.981,47.8,73,35.724
2025-01-27,0.162,3.662,1.952,0.924,37.8,71,34.17
2025-01-28,0.1509,3.423,1.999,0.889,30.0,72,32.048
2025-01-29,0.1154,3.005,2.045,0.99,27.8,72,32.779
2025-01-30,0.1124,3.21,2.254,0.998,36.7,70,34.278
2025-01-31,0.1124,3.713,2.538,0.986,36.7,76,34.421
2025-02-01,0.1124,3.729,2.397,0.885,25.6,68,32.089
2025-02-02,0.0795,3.575,1.856,0.855,8.9,60,27.614
