date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2022-05-31,0.0556,1.583,0.948,0.941,5.6,16,93.19
2022-06-01,0.0808,1.433,0.942,0.933,5.6,17,89.49
2022-06-02,0.097,1.429,0.932,0.978,10.0,13,91.22
2022-06-03,0.1101,1.051,0.983,0.989,22.2,10,89.3
2022-06-04,0.1325,1.155,1.029,0.986,25.6,14,89.62
2022-06-05,0.1639,1.183,1.065,0.957,26.7,10,89.34
2022-06-06,0.1722,1.439,1.076,0.964,26.7,13,93.77
2022-06-07,0.1656,1.453,1.203,0.926,26.7,15,92.73
2022-06-08,0.1656,1.544,1.051,0.987,22.2,17,92.56
2022-06-09,0.1783,1.586,1.124,0.863,28.9,11,91.22
2022-06-10,0.1696,1.574,1.038,0.891,28.9,13,86.28
2022-06-11,0.1597,1.533,0.957,0.988,5.6,12,79.58
2022-06-12,0.1264,1.427,0.972,1.021,10.0,14,79.0
2022-06-13,0.0778,1.467,1.003,0.977,1.1,11,65.58
2022-06-14,0.0811,1.568,1.053,0.967,1.1,8,63.99
2022-06-15,0.0541,1.358,1.068,0.98,1.1,7,68.54
2022-06-16,0.055,1.631,1.039,0.958,1.1,7,59.01
2022-06-17,0.0467,1.429,0.999,1.087,2.2,9,62.58
2022-06-18,0.0676,1.346,0.964,0.967,2.2,6,59.23
2022-06-19,0.1008,1.184,0.985,1.025,5.6,6,67.5
2022-06-20,0.1494,1.348,1.015,0.982,2.2,9,64.98
2022-06-21,0.153,1.837,0.972,0.981,3.3,9,65.75
2022-06-22,0.18,1.646,0.98,0.984,1.1,11,63.2
2022-06-23,0.18,1.668,0.988,0.961,6.7,11,65.56
2022-06-24,0.2049,1.559,1.044,0.965,12.2,11,69.09
2022-06-25,0.2076,1.647,,0.912,8.9,14,68.25
2022-06-26,0.21,1.529,,0.953,3.3,14,63.71
2022-06-27,0.21,1.622,1.036,0.953,5.6,12,62.35
2022-06-28,0.2046,1.79,,0.954,2.2,10,58.82
2022-06-29,0.1907,1.846,,0.908,5.6,13,57.64
2022-06-30,0.1849,1.859,,0.909,12.2,11,54.5
2022-07-01,0.1753,1.481,,1.016,13.3,11,53.47
2022-07-02,0.1557,1.755,,1.005,17.8,14,54.02
2022-07-03,0.1425,1.638,,0.958,16.7,11,54.46
2022-07-04,0.1226,1.301,,1.104,23.3,14,58.12
2022-07-05,0.128,1.469,,0.95,16.7,19,57.01
2022-07-06,0.1419,1.455,,0.971,23.3,18,58.2
2022-07-07,0.1476,1.449,,1.011,24.4,18,59.82
2022-07-08,0.1573,1.404,,1.002,23.3,20,59.4
2022-07-09,0.1769,1.488,,0.966,28.9,24,61.19
2022-07-10,0.1855,1.603,,0.928,27.8,24,59.66
2022-07-11,0.1453,1.538,,0.955,16.7,22,55.64
2022-07-12,0.0914,1.784,,0.961,14.4,16,51.98
2022-07-13,0.0171,1.408,,0.999,28.9,15,54.9
