date,funding7d_pct,gls,top_ls,taker_ls,oi_pctl_90d,fng,close
2022-11-25,0.0032,1.076,,0.8,47.8,20,1198.55
2022-11-26,-0.0304,1.012,,1.583,51.1,22,1204.84
2022-11-27,-0.0468,1.085,,0.615,48.9,26,1193.26
2022-11-28,-0.0434,1.397,,0.933,34.4,28,1167.21
2022-11-29,-0.0236,0.936,,1.072,72.2,26,1215.74
2022-11-30,0.0131,0.891,,0.891,83.3,29,1294.02
2022-12-01,0.0221,0.921,,1.04,95.6,27,1275.7
2022-12-02,0.0287,0.875,,2.514,100.0,27,1295.0
2022-12-03,0.0399,1.233,,0.9,80.0,27,1239.76
2022-12-04,0.0507,1.121,,0.643,65.6,26,1278.82
2022-12-05,0.0739,1.356,,0.757,42.2,26,1258.66
2022-12-06,0.0671,1.403,,1.224,45.6,25,1270.72
2022-12-07,0.0462,1.682,,0.436,54.4,29,1230.83
2022-12-08,0.0363,0.957,,1.843,71.1,25,1279.73
2022-12-09,0.0434,1.027,,1.021,56.7,26,1262.31
2022-12-10,0.0605,1.113,,1.405,57.8,27,1265.88
2022-12-11,0.0631,1.15,,1.298,58.9,26,1262.43
2022-12-12,0.0532,1.165,,1.568,44.4,27,1274.88
2022-12-13,0.0722,0.868,,1.354,68.9,27,1321.06
2022-12-14,0.0938,0.914,1.181,2.079,52.2,30,1307.76
2022-12-15,0.1221,1.462,1.179,0.767,42.2,31,1266.26
2022-12-16,0.1166,1.851,1.118,0.857,6.7,29,1166.2
2022-12-17,0.1107,1.874,1.083,0.811,11.1,28,1186.45
2022-12-18,0.1276,1.827,1.057,0.584,11.1,26,1182.45
2022-12-19,0.1254,1.85,1.051,0.755,11.1,29,1167.21
2022-12-20,0.1189,1.332,1.063,1.395,22.2,29,1216.21
2022-12-21,0.1086,1.318,1.118,1.06,21.1,26,1213.21
2022-12-22,0.1052,1.557,1.123,0.907,18.9,28,1217.39
2022-12-23,0.1058,1.307,1.14,1.956,22.2,27,1219.5
2022-12-24,0.1174,1.279,1.123,0.918,25.6,29,1219.96
2022-12-25,0.1004,1.322,1.157,1.219,18.9,29,1217.96
2022-12-26,0.1144,1.27,1.155,1.665,27.8,28,1227.57
2022-12-27,0.1118,1.509,1.146,1.433,31.1,27,1211.29
2022-12-28,0.1059,1.813,1.13,1.741,28.9,28,1189.93
2022-12-29,0.1051,1.574,1.155,1.662,27.8,28,1200.35
2022-12-30,0.1184,1.635,1.174,1.124,28.9,28,1199.66
2022-12-31,0.1311,1.595,1.18,1.0,25.6,25,1196.1
2023-01-01,0.1601,1.564,1.17,1.074,34.4,26,1199.96
2023-01-02,0.1758,1.263,1.179,1.31,35.6,27,1213.23
2023-01-03,0.1651,1.471,1.163,0.728,34.4,26,1214.23
2023-01-04,0.1789,0.876,1.165,2.248,72.2,29,1256.39
2023-01-05,0.183,0.892,1.184,0.689,70.0,29,1251.08
2023-01-06,0.183,0.798,1.162,0.757,77.8,26,1268.54
2023-01-07,0.1698,0.832,1.182,3.009,74.4,25,1263.65
2023-01-08,0.1595,0.834,1.164,1.207,77.8,25,1289.65
2023-01-09,0.1551,0.666,1.183,1.574,85.6,25,1320.32
2023-01-10,0.176,0.64,1.19,1.228,86.7,26,1335.3
2023-01-11,0.1712,0.709,1.193,1.107,84.4,26,1389.26
2023-01-12,0.1712,0.721,1.226,0.786,85.6,30,1415.84
2023-01-13,0.1712,0.792,1.232,1.145,84.4,31,1450.94
2023-01-14,0.2719,1.046,1.331,0.811,67.8,46,1550.27
2023-01-15,0.314,0.972,1.333,1.293,72.2,52,1553.47
2023-01-16,0.3263,0.87,1.31,0.768,80.0,45,1577.11
2023-01-17,0.3263,0.871,1.306,1.164,81.1,51,1565.84
2023-01-18,0.3335,0.918,1.328,0.729,74.4,52,1511.66
2023-01-19,0.3335,0.848,1.318,1.665,78.9,45,1551.11
2023-01-20,0.3335,0.814,1.345,1.229,91.1,51,1659.01
2023-01-21,0.2459,0.84,1.375,1.132,85.6,53,1627.63
2023-01-22,0.2142,1.009,1.342,1.077,80.0,53,1628.14
2023-01-23,0.2104,1.054,1.367,2.781,76.7,50,1626.9
2023-01-24,0.2104,1.175,1.362,0.861,61.1,52,1555.99
2023-01-25,0.2104,1.267,1.321,0.852,62.2,51,1611.41
2023-01-26,0.2104,1.209,1.356,1.064,62.2,54,1600.69
